survey_id	zone	node_id	sequence	x	z	y	event	label	neighbors	source	confidence
20260712-170700-z102	102	1685	1685	472.280	-272.197	22.655	point		1684,1686	live-route-recording-20260712-170700-z102	proven
20260712-170700-z102	102	1686	1686	473.529	-274.611	23.080	point		1685,1687	live-route-recording-20260712-170700-z102	proven
20260712-170700-z102	102	1687	1687	474.617	-276.751	23.421	point		1686,1688	live-route-recording-20260712-170700-z102	proven
20260712-170700-z102	102	1688	1688	475.898	-279.549	23.900	point		1687,1689	live-route-recording-20260712-170700-z102	proven
20260712-170700-z102	102	1689	1689	476.595	-281.476	24.000	point		1688,1690	live-route-recording-20260712-170700-z102	proven
20260712-170700-z102	102	1690	1690	477.365	-284.460	24.022	point		1689,1691	live-route-recording-20260712-170700-z102	proven
20260712-170700-z102	102	1691	1691	477.741	-286.478	24.123	point		1690,1692	live-route-recording-20260712-170700-z102	proven
20260712-170700-z102	102	1692	1692	478.103	-289.540	24.276	point		1691,1693	live-route-recording-20260712-170700-z102	proven
20260712-170700-z102	102	1693	1693	478.097	-291.972	24.393	point		1692,1694	live-route-recording-20260712-170700-z102	proven
20260712-170700-z102	102	1694	1694	477.806	-295.043	24.700	point		1693,1695	live-route-recording-20260712-170700-z102	proven
20260712-170700-z102	102	1695	1695	477.478	-297.073	24.853	point		1694,1696	live-route-recording-20260712-170700-z102	proven
20260712-170700-z102	102	1696	1696	476.874	-300.107	24.994	point		1695,1697	live-route-recording-20260712-170700-z102	proven
20260712-170700-z102	102	1697	1697	476.427	-302.120	24.893	point		1696,1698	live-route-recording-20260712-170700-z102	proven
20260712-170700-z102	102	1698	1698	475.731	-305.123	24.633	point		1697,1699	live-route-recording-20260712-170700-z102	proven
20260712-170700-z102	102	1699	1699	475.133	-307.658	24.289	point		1698,1700	live-route-recording-20260712-170700-z102	proven
20260712-170700-z102	102	1700	1700	474.659	-309.653	24.104	point		1699,1701	live-route-recording-20260712-170700-z102	proven
20260712-170700-z102	102	1701	1701	473.886	-312.642	24.048	point		1700,1702	live-route-recording-20260712-170700-z102	proven
20260712-170700-z102	102	1702	1702	473.293	-314.624	24.184	point		1701,1703	live-route-recording-20260712-170700-z102	proven
20260712-170700-z102	102	1703	1703	472.342	-317.558	24.182	point		1702,1704	live-route-recording-20260712-170700-z102	proven
20260712-170700-z102	102	1704	1704	471.401	-320.328	24.229	point		1703,1705	live-route-recording-20260712-170700-z102	proven
20260712-170700-z102	102	1705	1705	470.605	-322.634	24.269	point		1704,1706	live-route-recording-20260712-170700-z102	proven
20260712-170700-z102	102	1706	1706	469.592	-325.544	24.095	point		1705,1707	live-route-recording-20260712-170700-z102	proven
20260712-170700-z102	102	1707	1707	468.918	-327.477	23.892	point		1706,1708	live-route-recording-20260712-170700-z102	proven
20260712-170700-z102	102	1708	1708	467.902	-330.387	23.581	point		1707,1709	live-route-recording-20260712-170700-z102	proven
20260712-170700-z102	102	1709	1709	467.225	-332.330	23.542	point		1708,1710	live-route-recording-20260712-170700-z102	proven
20260712-170700-z102	102	1710	1710	466.212	-335.233	23.847	point		1709,1711	live-route-recording-20260712-170700-z102	proven
20260712-170700-z102	102	1711	1711	465.398	-337.564	23.748	point		1710,1712	live-route-recording-20260712-170700-z102	proven
20260712-170700-z102	102	1712	1712	464.386	-340.467	23.438	point		1711,1713	live-route-recording-20260712-170700-z102	proven
20260712-170700-z102	102	1713	1713	463.711	-342.404	23.207	point		1712,1714	live-route-recording-20260712-170700-z102	proven
20260712-170700-z102	102	1714	1714	462.694	-345.317	23.076	point		1713,1715	live-route-recording-20260712-170700-z102	proven
20260712-170700-z102	102	1715	1715	462.012	-347.264	23.186	point		1714,1716	live-route-recording-20260712-170700-z102	proven
20260712-170700-z102	102	1716	1716	460.927	-350.141	23.212	point		1715,1717	live-route-recording-20260712-170700-z102	proven
20260712-170700-z102	102	1717	1717	459.932	-352.374	23.193	point		1716,1718	live-route-recording-20260712-170700-z102	proven
20260712-170700-z102	102	1718	1718	458.548	-355.147	23.121	point		1717,1719	live-route-recording-20260712-170700-z102	proven
20260712-170700-z102	102	1719	1719	457.602	-356.966	23.100	point		1718,1720	live-route-recording-20260712-170700-z102	proven
20260712-170700-z102	102	1720	1720	456.167	-359.689	23.000	point		1719,1721	live-route-recording-20260712-170700-z102	proven
20260712-170700-z102	102	1721	1721	455.208	-361.501	23.000	point		1720,1722	live-route-recording-20260712-170700-z102	proven
20260712-170700-z102	102	1722	1722	453.771	-364.210	23.000	point		1721,1723	live-route-recording-20260712-170700-z102	proven
20260712-170700-z102	102	1723	1723	452.631	-366.358	23.295	point		1722,1724	live-route-recording-20260712-170700-z102	proven
20260712-170700-z102	102	1724	1724	451.185	-369.080	23.476	point		1723,1725	live-route-recording-20260712-170700-z102	proven
20260712-170700-z102	102	1725	1725	450.139	-371.048	23.653	point		1724,1726	live-route-recording-20260712-170700-z102	proven
20260712-170700-z102	102	1726	1726	449.171	-372.872	23.693	point		1725,1727	live-route-recording-20260712-170700-z102	proven
20260712-170700-z102	102	1727	1727	447.722	-375.599	23.631	point		1726,1728	live-route-recording-20260712-170700-z102	proven
20260712-170700-z102	102	1728	1728	446.358	-378.169	23.781	point		1727,1729	live-route-recording-20260712-170700-z102	proven
20260712-170700-z102	102	1729	1729	445.198	-380.352	23.922	point		1728,1730	live-route-recording-20260712-170700-z102	proven
20260712-170700-z102	102	1730	1730	444.148	-382.329	24.091	point		1729,1731	live-route-recording-20260712-170700-z102	proven
20260712-170700-z102	102	1731	1731	442.702	-385.052	24.156	point		1730,1732	live-route-recording-20260712-170700-z102	proven
20260712-170700-z102	102	1732	1732	441.733	-386.875	24.262	point		1731,1733	live-route-recording-20260712-170700-z102	proven
20260712-170700-z102	102	1733	1733	440.282	-389.607	24.299	point		1732,1734	live-route-recording-20260712-170700-z102	proven
20260712-170700-z102	102	1734	1734	438.919	-392.175	24.190	point		1733,1735	live-route-recording-20260712-170700-z102	proven
20260712-170700-z102	102	1735	1735	437.773	-394.333	24.082	point		1734,1736	live-route-recording-20260712-170700-z102	proven
20260712-170700-z102	102	1736	1736	436.338	-397.035	24.000	point		1735,1737	live-route-recording-20260712-170700-z102	proven
20260712-170700-z102	102	1737	1737	435.370	-398.858	24.030	point		1736,1738	live-route-recording-20260712-170700-z102	proven
20260712-170700-z102	102	1738	1738	433.927	-401.574	24.103	point		1737,1739	live-route-recording-20260712-170700-z102	proven
20260712-170700-z102	102	1739	1739	432.961	-403.392	24.151	point		1738,1740	live-route-recording-20260712-170700-z102	proven
20260712-170700-z102	102	1740	1740	431.512	-406.119	24.034	point		1739,1741	live-route-recording-20260712-170700-z102	proven
20260712-170700-z102	102	1741	1741	430.375	-408.260	23.847	point		1740,1742	live-route-recording-20260712-170700-z102	proven
